,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dust_correction,transf_pm_coeffA,transf_pm_coeffB
8386,268.55103447749167,-35.883475275463894,354.950434192003,-5.10960211300806,19.492656476297203,0.8051099672559924,3.927926018799733,1.4718986028333674,3.846884875986596,1.3570432376449035,-0.15278733,0.11611702,-0.15947947,,,8.167219000000001,8.131288,8.034372,0.010223298944310703,0.500354418277139,0.8658206835774632
14934,158.20304995330747,-50.13573772305464,281.39440792708245,6.848648896843791,19.567073071433676,0.03670689775073542,5.494090434202737,0.05371881649403733,25.91401918091953,0.0562228504293022,0.2053106,-0.03351173,0.16483961,-0.4760548276276495,0.1869870164635992,8.284784,8.628639999999999,7.821204700000001,0.00865358355829363,0.8603329025771642,-0.5097325737513267
17860,248.9813367758427,-37.36327814116204,344.5740175400393,6.752719962346225,19.772723184469115,0.0628841969279174,-93.81872411079658,0.12239657030180764,-50.260912386120516,0.09267716994780499,-0.28964629999999997,0.01704081,0.043392397,-29.083579563236032,0.14980289901607427,8.333271,8.711082000000001,7.8386245,0.009395718667482702,0.6681217884961619,0.7440519308063719
23097,200.3476415022248,-64.05011083654374,306.20201382091886,-1.3687023530543192,17.546960411299974,0.03881193570198578,-228.96152210878085,0.04492839302963881,-44.39927007286624,0.056202226794455634,0.10805374400000001,0.21510677,0.25485860000000005,14.958388534529393,0.32839570791482203,8.416075,8.763666,7.942677000000001,0.021212045656733205,0.9932471650200264,0.11601753824176901
28854,165.68950425918794,-42.206674450324094,282.3008135982161,16.269845006281418,16.746518669158466,0.03916350260927212,70.56416446601575,0.0484746688711899,-44.546855624370316,0.04995955481403902,0.26183727,-0.08815137,0.22167206,21.18996018199956,0.2548638674461089,8.501735,8.836819,8.044534,0.006290582645783129,0.9059658206481648,-0.42335083774252463
28929,166.0570304104348,-57.76530171259439,289.00481643274736,2.1781485656363793,17.382205068436523,0.0391232074951205,18.334772135939488,0.057056461303708825,-39.530087510237045,0.05126221351154382,0.27350628,0.024677444,0.030901525,31.216519992465,0.31687222749069904,8.502781,8.845847000000001,8.033496000000001,0.020838143340814023,0.9158152809556988,-0.40159976490037264
29612,280.3614794871222,-45.641151365850895,349.9817305351028,-17.391377401148027,18.150227974442302,0.06246453902690911,-11.139343608723609,0.08350527203960569,-110.95301646435823,0.07335385224593324,-0.47157204,0.40116799999999997,-0.0044510057,-15.23033562074301,0.16773266526509018,8.512661,8.867931,8.038991000000001,0.016576740163036067,0.36313534654745816,0.9317364005381874
29821,293.2866147237076,-54.53272835766933,343.06159953948213,-27.699617914782767,17.46401334247598,0.05657830127423559,108.43925440746601,0.07381858123700029,-82.63237595902851,0.05200379544687468,-0.6330879,0.02586088,-0.07112436,-15.800147286716786,0.2198956150922654,8.515488000000001,8.860033,8.047362,0.018478040204703398,0.15065837033238064,0.9885858867335661
30258,280.5121410767527,-64.32447550721764,331.04852010677575,-23.27641650440947,18.341040375648184,0.031155224460683282,27.943149941153447,0.030993791502060844,-218.3117313765012,0.04147053289277521,-0.1980085,0.0006929150999999999,0.26785028,-1.999053766017429,0.1826530198413359,8.521907,8.886558,8.028881,0.01594994160026903,0.2508339635159408,0.9680301249170316
31215,102.80261704757513,-88.53406255858143,301.28485094708117,-27.120097294514576,16.747152534011157,0.028804651679315712,-47.90129551094135,0.04399771631914482,188.6278650398447,0.051190111367661585,0.24690109999999998,0.10835650000000001,-0.014029290500000001,-41.80345729417187,0.2513232427749685,8.5355015,8.872598,8.078248,0.010864478846693415,0.012114217088801216,-0.9999266201798637
32366,196.91711340940586,-50.35127937306798,305.58195611339926,12.43693863184839,19.15442550585888,0.03941297039123777,-230.39603588328148,0.05906302328633922,-61.54156264326022,0.07021466198984226,0.11850464,0.18437134,-0.22986358,25.640596271028148,0.19604523066211044,8.551071,8.947171,8.026482000000001,0.01423122484243893,0.9979184329487708,0.06448876786751034
32745,206.49766926075364,-43.538421297924735,313.2994683449476,18.232416888537333,17.759736720999925,0.05100036532933308,34.38664359931603,0.08776055109658516,19.705945520346106,0.08729342755277958,-0.01802747,0.24263348,-0.112703174,19.37988513999958,0.21009174180580012,8.556169500000001,8.908741000000001,8.079007,0.013266563370048303,0.9752868166237597,0.22094258376305106
33031,180.949432932204,-44.11789810155861,293.973580073124,17.92361202494903,18.915128888947216,0.04484933192065252,101.36134344269414,0.05516259283214865,15.72363822240746,0.036146074477021485,0.41547853,0.2745867,0.22922385,6.13950990444009,0.1699079227603715,8.560066,8.939927,8.055171000000001,0.009147438648330888,0.9811907517417655,-0.1930406918150393
34239,224.01778285596438,-74.42342447249716,311.14933808633117,-13.575552248429176,16.173083809393358,0.0956446358326852,164.00011313182466,0.12453593151644045,-47.7937758504196,0.1444323941635337,-0.09316479400000001,0.44233552,0.07117497,15.47528749980106,0.9891327657109876,8.575336,8.947561,8.082189999999999,0.018231319785712224,0.880676134016411,0.4737188480247631
34820,237.68418173936456,-24.00258053680784,347.3379141961824,23.027317091471996,17.087053442320457,0.07347057684638776,-43.21766795805332,0.12596933700567814,15.752574223761687,0.08039866198158982,-0.14368051,-0.013384658999999998,-0.38034678,-22.325154471678147,0.1589355843778934,8.583071,8.955955,8.080469,0.006204644754254128,0.73162456217639,0.6817077819859515
35252,224.9128510769276,-78.51085110107263,309.2869371817177,-17.253573101424006,17.81611472329835,0.028220453997931664,-27.058584560461675,0.04266038331717722,2.4420657221474995,0.04616824193206193,-0.066203296,0.32291016,-0.07485017,24.43537651846273,0.2310674184220758,8.588797,8.940522999999999,8.114596,0.014950840714084429,0.8691320714071997,0.49458006677526956
35293,202.3512116033075,-76.18348124355714,305.25290581316887,-13.483115322978596,16.78467790403251,0.030522430202925964,-178.09200790805104,0.04505103487805445,11.379096414990261,0.050564329314424485,0.089769654,0.2913106,0.030038757000000003,1.7308477043712458,0.2761890235831776,8.589386,8.914733,8.13695,0.018064017060197127,0.988545463990867,0.1509233766620713
35347,196.70850920263572,-77.8704102745582,303.7687147114722,-15.023682399730154,18.942009632330368,0.06512855593811126,-114.56116426109577,0.1478891967151236,18.72135257367076,0.10186738383511036,-0.022162657000000002,0.30465248,0.0013151439,10.732339372550456,0.7783456547447528,8.590176,8.963496000000001,8.095077999999999,0.015084110155537353,0.998085008344543,0.06185722365151477
35644,192.7239545147932,-57.72143722004183,302.8592511694264,5.150236290634652,17.314888891837715,0.0541418088208528,-109.56041898968908,0.06665772181876442,40.496548857291025,0.07536971041583135,0.2634778,0.2849958,0.49402207,9.459354542866572,0.2835755024172884,8.5941925,8.983533,8.073431,0.01984095344262212,0.9999977661780196,-0.00211367901314722
36528,227.06166897586658,-59.955378394409074,319.28364289938565,-1.5003552161856464,19.309088134749448,0.031770263168179096,-191.0752988952853,0.04171863888501093,-177.83743361009047,0.05142028874200096,0.07609136,0.07631911,-0.3297761,-9.191736024053435,0.23296920490391956,8.606323,8.964188,8.115688,0.017076201505035003,0.8657670562328841,0.5004472043501154
39060,240.73741950378377,-32.16200788494493,343.5290198023847,15.224298448841314,17.90664687996967,0.04493297473900147,14.98641427898458,0.08632877232079507,-8.082659946560097,0.051609598824575935,-0.05365700599999999,0.055014565999999994,-0.06591735,24.080777818315987,0.13673252625935622,8.639463000000001,9.037344000000001,8.112202,0.008132442325314902,0.7293608016146604,0.6841292429563438
41092,285.42852112630976,-74.08164198699076,320.79328429983264,-26.707727979797,17.106726683837348,0.028018861975718963,9.319464891338864,0.0378666832772832,19.5381618766304,0.042826887163395035,-0.31470072,-0.010172009000000001,-0.050441574,-33.881448585800726,0.2205934486907632,8.665267,8.994686,8.21125,0.01333772286877301,0.097053648841038,0.9952791514176516
41196,230.54946482595332,-46.08989459803782,328.37059339424457,9.202889708953919,18.71345222652075,0.044730489029241136,-2.0214747734135483,0.09507244215293448,-60.7746272320914,0.06872399734968228,-0.15056224,0.038292564,-0.20321867,,,8.666589,9.096698,8.106808000000001,0.014172090682720337,0.8343573464547248,0.5512239276528463
41210,284.81713045148007,-49.50322340952531,347.16365513928366,-21.499500747940345,15.76470587389989,0.048933353525561066,39.04079167264825,0.08937149617564596,-35.640652751740845,0.0762396668802262,-0.39029992,0.18722235,-0.10151492,-12.818850226153113,0.2715564534725359,8.666758,9.004855000000001,8.207869,0.019056432033405256,0.29341430180816264,0.9559853803769326
42088,207.69991544882825,-62.90620519049407,309.6315747178673,-0.8091842206686124,17.19392332700411,0.027545648496422256,-168.18937103137358,0.03229268716027327,-231.773463203295,0.041888204030247136,0.09814526,0.15140559,0.45289448,-1.0569465912782685,0.1689399265864176,8.677299,9.036280999999999,8.188455000000001,0.020653867107122408,0.9736673101950039,0.2279736148277387
42390,288.9581655441844,-41.11005073839364,356.7143024357409,-21.78062478759864,18.009478529293975,0.22041766679446775,85.66005128983312,0.3880290267571405,-67.81669718318793,0.374166097334022,-0.17596389999999998,-0.07911772,0.16697693,-11.513386617405384,2.5155611742218285,8.6807785,9.087182,8.156284,0.015039608588472227,0.3030228878795928,0.9529832786681578
42752,216.95737008778624,-45.963766806887286,319.9174211860677,13.704846966850473,15.79796776007924,0.040112273715404725,-131.44711234360744,0.07682327361515091,-95.77405642957928,0.07410477840958081,0.05728182,0.023051586000000002,-0.08087309,9.856137313008896,0.3317833213695193,8.685328,9.038444,8.2021055,0.01696938220417963,0.9274173081155518,0.3740282564295157
42996,220.68001781763837,-49.24997856601036,320.9343436149205,9.692580985015514,15.913913533485221,0.05599590730398863,66.1043790913444,0.0983812510291278,1.3703554505398845,0.10228948604266523,-0.27550490000000005,0.43592408,-0.35465820000000003,,,8.68855,9.039891,8.20553,0.01828746309783077,0.9068861450218978,0.4213757467715976
