,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dust_correction,transf_pm_coeffA,transf_pm_coeffB
147283,108.52538762560584,-18.809688737404908,232.21543841798714,-3.6606545071718486,4.9767248047556505,0.03359269078503866,12.660846143075291,0.04687918406022807,-34.325892377194464,0.04743426348902036,0.30926406,-0.085053064,-0.14831197,,,9.642897,9.988158,9.161755,0.1226950283901996,0.4609026319387054,-0.8874507106718514
150959,114.14372122063585,-26.313628983672572,241.2913408863706,-2.638029391023002,4.789584433472716,0.027798337658407186,3.2886465289181115,0.040005985707198634,-12.893566874892993,0.048555996872091285,-0.039593756,-0.19416766,0.16637474,,,9.668045,9.937538,9.277296,0.03193586254886606,0.48644856147966536,-0.873709217665903
153386,102.98763394845574,-29.41155248590786,239.62243144186803,-12.837704501679006,4.702963282801257,0.026620970492087774,-0.305214847052925,0.038680952505873833,4.333533602587857,0.04687109679262348,0.059081305,-0.15188606,0.18286479,34.49215207126311,0.7828229141957138,9.683842,9.88256,9.379832,0.01872984192325508,0.4084004281391112,-0.9128028759243644
157601,104.26315578447633,-23.771369723415987,234.89571384477642,-9.430422935799573,4.904733280263754,0.028843103830025082,-9.463655673342672,0.035377967999984834,-33.156036402767036,0.04309474405869128,-0.032534062999999995,-0.02511449,-0.08507319,21.449519770072772,0.5643172375651578,9.7115345,9.973815,9.325619,0.02840841733548756,0.4319238772867111,-0.9019100643798217
158123,119.97814276332424,-18.605386402241727,237.3469999581237,5.900292520829548,4.803596837117309,0.05466838570324485,-29.296986119429732,0.07924008505685805,10.9221319437501,0.07158600430195679,0.19836055,0.055090778,-0.13948224,29.27493301285584,2.284483928293938,9.714702,10.011447,9.290189999999999,0.07305570332699324,0.518481040814927,-0.8550891241943556
159104,124.1292577590058,-11.843452713442517,233.62740863858448,12.849660572526126,4.839321990025247,0.03905072120637355,24.381048855604924,0.05466219512651775,-51.902903080817225,0.04859636515523017,0.41452777,-0.08788209400000001,-0.17734623,,,9.721131,9.973842999999999,9.34163,0.10170741892229113,0.5257035990518877,-0.8506678117478597
159715,98.87291536410585,-21.123709939122953,230.3066625944836,-12.829191958555171,4.7404478098221015,0.03366814287474529,2.56543874209872,0.04522805966948941,-16.050233894225162,0.057730300677439325,0.099662654,-0.11902860000000001,-0.17503653,16.60702896929054,7.079399107003138,9.725033999999999,9.957322999999999,9.373747,0.06846643376820545,0.41336437816231414,-0.9105656982703024
160233,120.54870321631455,-30.046213206117702,247.37303936203503,0.3309770247396621,4.81240627475171,0.028288893149518275,-22.18709987836575,0.043848286601250716,26.303003772186447,0.04407244089913343,0.14814098,-0.12096302,0.09569935,63.505389321410554,0.926987814982586,9.728366000000001,9.970066000000001,9.372307000000001,0.03600167651990224,0.5301203724058259,-0.8479223966615744
160753,114.11206587249096,-32.485966961306644,246.6949575139282,-5.647803288234432,4.818587895590394,0.02450010105929937,-30.974197365560894,0.03993096944121551,-16.893482102145175,0.04270686966783288,0.10336008,-0.11879274,0.115104325,,,9.731810000000001,10.003967999999999,9.340933999999999,0.02156115321180434,0.48023964834743504,-0.8771373211505322
162177,97.18883126007566,-37.870984853393324,245.96543653043582,-20.447014063581747,4.605208862046332,0.024364019329884617,-9.620723991948744,0.04120500268183379,-14.296762167088428,0.05143255566566872,0.019488115,0.020789102,0.035396315,14.109354202153988,0.4290103474848556,9.7411375,9.965402000000001,9.407601,0.014449935384404956,0.3265398531004707,-0.945183434226988
