,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dust_correction,transf_pm_coeffA,transf_pm_coeffB
174929,280.40465528580444,3.3796457656080268,34.82528864200448,3.723087551726895,4.785851687686853,0.0529709503135928,10.934731587669368,0.08528522723629797,1.4441380122360623,0.07784808065893561,-0.40112382,0.13981828,0.08119957,,,9.82104,10.093625999999999,9.423488,0.19695390803978494,0.4539014668519489,0.8910518831076276
178813,286.48310592967533,4.225698201901662,38.34547632251661,-1.2890785317675006,4.872850782852446,0.03874955276217113,-4.578694928086397,0.06144056357542475,-7.09104401714266,0.061655305328416676,-0.31987253,0.15986569,0.16373911,,,9.844497,10.138395,9.418548,0.15615990847154781,0.4590051053465828,0.8884336290718471
179294,281.0861967654409,-2.5197560133119628,29.88088560329148,0.4278297693427619,4.96852396806656,0.04844878885852,26.74409913892161,0.07749134117982316,-5.059617459619964,0.07817029660146724,-0.19598234,0.13582084,0.22568572,,,9.847329,10.180258,9.381436,0.21143231852122082,0.4567664119259019,0.8895866708400804
180431,284.03968546944606,2.2954525470429767,35.51285641384717,-0.0030426087473183288,4.869162183931755,0.048558019918869065,-38.15774468581788,0.07582595646717008,-9.036240334578538,0.0777761033805846,-0.32275602,0.03218359,0.15914746,,,9.853986,10.324758000000001,9.255548,0.17099441974893934,0.4563520910931525,0.8897992857689352
181311,283.2253028297158,5.9858968977649765,38.42875798422311,2.401411775083879,4.8372069290094215,0.036888272074079735,39.902447463173736,0.0804233195122293,-23.612828269740948,0.07039016374934767,-0.09219005,-0.06794861,-0.19115047,22.37607459205791,0.4800672011911044,9.859167999999999,10.159436,9.435694999999999,0.1540972073710195,0.4544892793428395,0.8907522073856603
182012,280.9302462016377,2.6552508614804933,34.4177309820948,2.9264177686777484,4.714323661728102,0.0574072363597018,8.674350998239195,0.08703671699054003,-1.2548575733568892,0.08712209370026243,-0.41302747,0.3945301,-0.057881154000000004,,,9.863451,10.121127,9.489339,0.19462491665943396,0.45469916923903303,0.8906450839101584
183241,267.7966826612044,17.65612599159046,42.61581217889994,21.020033446193093,4.568267838296529,0.030003031891218893,-22.52746572270523,0.04081381290418002,-8.979982787361834,0.056305737988688515,0.05775965,0.26824942,0.042254599999999996,-10.956394463653915,0.3078921584894369,9.870525,10.196564,9.409787,0.1589299145186066,0.3903281360014602,0.9206758095256037
183461,278.51611725581716,8.635497390706162,38.69462623307785,7.7645602083807015,4.853138668410001,0.045882408423096536,1.5622697787768896,0.06784848571230592,15.654648960727934,0.08115859538048813,-0.28763404,0.38085726,0.068534136,7.778915362913143,0.6624030723796258,9.871884,10.265571000000001,9.347844,0.22526460719921337,0.4447721464387016,0.8956437560505349
187785,279.8721454050586,3.7887957498714138,34.949176135650966,4.382321761640676,4.670568244020319,0.05177149196199937,7.903650430021845,0.08827021539266433,-18.911833916480784,0.08209968788208236,-0.44765249999999995,0.25595424,-0.19281091,-22.58717378641746,0.7042041102045058,9.896161,10.252442,9.399791,0.21212517589492122,0.4532474473186138,0.8913847382018386
188190,278.01797940828675,6.2184465844091745,36.291222173987656,7.126739432564049,4.7778228120238655,0.04272973215114352,2.3920955067078973,0.07227953800993782,0.4420809102382236,0.07063188987284101,-0.24912694,0.06856844,-0.05128452,,,9.898295,10.140098,9.540703,0.251158380572669,0.4486305115966298,0.8937173289494539
188334,284.0095472542951,10.44882391621449,42.764433983436774,3.73426666488802,4.762561931694169,0.07017673170933758,-13.103565538920956,0.11508872615704345,-31.989241104442762,0.12023567632861624,-0.19024523,0.0051925634,0.1324684,,,9.899147,10.183204,9.490236,0.1996712598764501,0.4526229095649741,0.8917020251950409
190259,284.88649259861256,-9.72147263504256,25.16309555525962,-6.201437385632371,4.88967239304651,0.06375305474274856,2.471250131103334,0.2347759870182234,-4.8827721197796405,0.1640722107775385,-0.52814204,0.5053055999999999,-0.8092814,,,9.909838,10.20783,9.473497,0.3129508590789075,0.44673455782519356,0.8946665495282188
