,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dust_correction,transf_pm_coeffA,transf_pm_coeffB
68203,102.56015700208911,1.9795552757621424,211.03362121639572,0.6362448854221445,6.537310451469146,0.1517771368927398,14.079193168930633,0.2528069365513487,-23.629326656154493,0.2619773118024349,0.282149,0.25291288,-0.21845767,22.348916681305884,1.087544805714137,8.97016,9.197897,8.635394999999999,0.01966347698228307,0.45590036586391525,-0.8900308176715839
70873,118.74215475148668,-9.768486638976047,229.05367441025604,9.361597585861047,6.501710552674392,0.04227291602493581,-29.468171934412602,0.07011374396518016,-11.048429685445306,0.049222111389349316,0.26392078,-0.11988777,0.048157707,47.40051985361897,0.14497940918906238,8.997303,9.322818,8.536947999999999,0.042126015142586994,0.497320732269469,-0.867566763572095
73319,105.68883783218855,-8.801532640939666,222.0504367387552,-1.5103340508563274,6.53150864811192,0.04581774369401463,-2.2115097042932566,0.07167916256560355,-22.531649836127947,0.08389050098841858,0.1640511,0.17086585,-0.1066616,,,9.021285,9.287027,8.640836,0.04240162476868757,0.4574951928684631,-0.8892120942172614
73657,93.35282914227345,-7.7119856263566176,215.55646361775985,-11.937983103123322,6.45331372024665,0.04263167318509789,-16.26707304717626,0.06639897027086919,-82.23369228582581,0.08528107071873813,0.22551034,0.21398619,-0.021023293999999998,,,9.024361,9.308126,8.616327,0.019771965350597012,0.44168683434098094,-0.8971692930377426
76458,109.0251984331325,-2.0421527562815034,217.5729544498611,4.547132996983871,6.329794832745028,0.04432223149913473,-12.526902658651967,0.08678870016923798,-4.945643454204398,0.09679792003000998,0.008582344,0.23422724,-0.5165771,26.53939492985716,0.6474663538819447,9.051565,9.371231,8.605964,0.042819973300009244,0.4605500546743143,-0.8876337347912628
78532,113.39431175283079,-19.080097161982962,234.63032628172743,0.2706458333017825,6.294776001348054,0.04843196427598661,-50.8338995507437,0.07096970531089329,-26.885508295777456,0.07218089597743824,0.31047115,-0.29710892,-0.4592695,,,9.071576,9.339685000000001,8.684221,0.0657971343414542,0.4841298650269947,-0.8749961564423834
79565,124.08204539290838,-11.564123169618876,233.35863606025902,12.957019131525906,6.2961152075077464,0.037513660310089625,4.552983718516007,0.05444160223528504,-0.03801636394422241,0.047872468036831414,0.39343765,-0.20893989999999998,-0.22124387,2.0608353553681718,1.9028920565404108,9.081575,9.308247999999999,8.744035,0.03775031727240926,0.524669921891482,-0.8513057459352581
80983,109.9708872980499,-6.02782917110726,221.55204721378757,3.5366472875614035,6.196908559234617,0.21644651821975436,-23.064015282235488,0.4003521267559833,33.609722549011266,0.3985667556070086,0.1393412,0.12999767,-0.368647,40.249593877958716,1.7187058434600286,9.095179,9.385446,8.669742999999999,0.05589937434175313,0.46592010121504385,-0.8848267962057678
81876,119.84173738289,-6.478907313039031,226.69450958096408,11.936739267308932,6.367744325858867,0.04420088457556535,33.38918558739612,0.06896083223715209,-26.489674173154267,0.04236078326927364,0.41557730000000004,-0.17684212,0.068215474,,,9.104,9.389777,8.6948805,0.04514381601768624,0.4930647621113095,-0.8699926093732738
81969,104.67709748339256,-11.700283339202269,224.1798747870409,-3.716962812098697,6.538458773404692,0.08268602521780465,0.5072530288813037,0.14779917035060353,-6.334552982507078,0.14622458728687052,0.10471741,0.08625703,0.14182998,,,9.105032000000001,9.329412,8.7763405,0.03577528601179477,0.45318711337749784,-0.8914154139729529
82249,108.69250325112809,-19.976389369959183,233.32606561503238,-4.05832087494971,6.638834977598622,0.038132591262630494,-9.763482259804883,0.05325150745916933,-17.442298372951,0.06014124734826791,0.25794077,-0.08327543,-0.29331535,2.3337430849915766,0.5309886460482777,9.107446000000001,9.321514,8.779625,0.04256430224657617,0.46060419848935175,-0.8876056400981136
82669,94.9786997095927,-8.059574161261244,216.60001580884548,-10.646740278589938,6.268427000781631,0.037353958697375914,14.022587237964812,0.06832760547969742,-14.971954045740725,0.06421491567052738,0.10306788,0.07245971,0.08280364,,,9.111438,9.356254,8.755821000000001,0.025661572154933,0.44197995537689794,-0.8970249266575792
83022,103.39222976238524,-19.748912691743374,230.87247757348823,-8.411867059418467,6.436348488129297,0.04437222254312513,-14.16055248886327,0.0615861147893813,17.28211464961013,0.060869269588866334,0.4303724,-0.39687878,-0.24986039999999998,32.669662611464325,0.7755423893918544,9.114567999999998,9.318899,8.802692,0.020328407028607116,0.43665763733825147,-0.8996277606622507
83942,106.18322385481585,-14.575185005436301,227.4140223266926,-3.715913929423692,6.5112316534494505,0.04208029245364283,28.830771502295427,0.05991144122407685,-18.24895929426982,0.06935008586860479,-0.033781398,-0.08025488,-0.34587740000000006,8.811398400182885,0.4232486630659061,9.1235285,9.472922,8.642712,0.04226643940184553,0.45525154206557766,-0.8903628661657637
84215,124.66246971011921,-7.8938849331345935,230.43274462723176,15.355038343436627,6.350119424561591,0.03979632640306007,-27.086806734853297,0.05717622398400748,-3.394355830104497,0.04957526155248663,0.38572586,0.03498189,-0.19601639,34.731082041102546,3.0759934777197238,9.125875,9.338238,8.802545,0.03808474832903891,0.5154612805670538,-0.856912870854542
84442,99.94100578516868,0.04116809459289399,211.56356448727283,-2.578381747577252,6.305109729173114,0.0487226635521558,-9.528328475220222,0.07105196006793285,3.9117906907015616,0.0650239023517771,0.3937164,0.25069904,-0.027925046000000002,,,9.127944,9.418641000000001,8.72919,0.022940871073703246,0.4564783492449093,-0.8897345203321285
85616,97.60064288997948,-20.81297415096254,229.51363348697222,-13.784374967306135,6.0464501010983485,0.039073337493485336,17.481913576465853,0.04587298808351917,29.0464630857368,0.07117503255184028,0.25325610000000004,-0.085955776,-0.17343828,42.200262013709775,0.4509036012387567,9.138978999999999,9.407017,8.746960000000001,0.020113379330323936,0.4090248010879107,-0.9125232666047454
86002,116.46164645511656,-22.09604170454055,238.6694258396894,1.2841533798719316,6.167626213398093,0.03333402762598997,-19.589066073818813,0.041823547564373884,21.223103101602906,0.04697891671668515,0.14968766,-0.07065132,-0.01093038,,,9.142719,9.461295,8.697343,0.02633796232659671,0.5013525350810055,-0.8652431077840776
86665,125.52690230458451,8.58062522135054,215.50312415976646,24.02774972393711,6.056412883562607,0.06843127246122427,-36.06139970079074,0.10684831831460773,-9.160151276425823,0.059834165809740575,0.7323989000000001,-0.41804177,-0.45816636,46.09001525821864,2.6082413243123157,9.148464,9.369876,8.813571000000001,0.0244910559601518,0.43762734540106774,-0.8991564416480675
86683,116.224518866491,-13.145909537696063,230.7795123362041,5.545040395181021,6.401092068157263,0.044879799375629865,-19.309234914356953,0.06215146594430634,-32.703897387750104,0.049895501616274665,0.39315534,-0.14192078,-0.12613358,25.589711062915768,0.18006421596177133,9.148617999999999,9.482053,8.689433,0.04531103583927814,0.4931301428510939,-0.8699555518597831
87031,100.71491363013928,-5.852735054685942,217.176514910843,-4.567194662841998,6.321963614313074,0.10368444831176583,-14.579675275356788,0.18623757156275075,-28.01442402337236,0.183925119466082,0.08393372,-0.03539012,0.046945937,,,9.151944,9.3713,8.8316555,0.03925519643838029,0.45164489720489637,-0.8921977845908263
87312,99.01034165235737,-24.125532877331036,233.17634283706838,-13.9398738094338,5.987272159330579,0.0475997660237363,-43.357656349208376,0.04348624243237345,-17.345266393044476,0.0705978480746101,0.07767941,0.22640811,-0.13460712,5.759327029798588,0.7422408879939489,9.154475,9.447517999999999,8.735481,0.012736972950209962,0.4036217750566314,-0.914925932903934
87384,117.4975945790088,-22.845135604981976,239.7995627614676,1.732721618087313,6.093535742759342,0.03471810362328854,-9.523274766049175,0.045305500829900335,5.487069150292632,0.04641610686267909,0.1857737,-0.20194736,0.04090009,,,9.155102000000001,9.389066999999999,8.803456,0.02294391521359511,0.5077675434754269,-0.8614941217402069
87385,100.1043433929019,-16.89632672282099,226.89837004921037,-9.989079335828126,6.100655261044246,0.13695358078800846,-13.881620251619234,0.21634554686369856,53.04918984246933,0.24741279140859015,-0.024874887999999998,-0.20180891,0.033912256,46.039011465648024,2.9776476295423864,9.155107000000001,9.443522,8.738074000000001,0.028013144360253938,0.4303908184493282,-0.902642644347428
