,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dust_correction,transf_pm_coeffA,transf_pm_coeffB
91799,265.1916739496957,-28.03000844914012,0.2108130522758396,1.3834668936705383,6.473194426514308,0.06892736755831579,-1.2390550936554132,0.09917202600474627,13.691716761842867,0.076609848304871,-0.3150559,0.37721258,0.035846762000000004,,,9.196389,9.462726,8.803816000000001,0.17109384436395608,0.5295855323203101,0.8482565437159998
93813,280.7261370715539,-33.45272422201642,1.7408507612859525,-12.92754688003957,6.193189292159414,0.13180419110769245,5.017228883619036,0.2415908777582917,19.52003850445199,0.20177675062858666,-0.16786434,0.13764673,-0.13737682,,,9.214267999999999,9.409182000000001,8.924468,0.0848809400283031,0.4090774068236077,0.9124996850555471
99642,280.59848495879714,-4.8087933393592674,27.622469119735733,-0.18550353232861874,6.3468172103332225,0.04929337528834375,34.36874158139436,0.07733663690654073,22.620741771880546,0.07333014944725623,-0.29621324,-0.015631905,0.16470908,,,9.268157,9.584349000000001,8.819208,0.1774284478008218,0.45732453058054917,0.8892998784039501
100488,285.56007039285265,-12.312777261356175,23.118883118728643,-7.944079816968326,6.388576223656434,0.0954770595020774,26.45383671093402,0.1672577570061413,-22.439465213786992,0.14647514688663324,-0.34969535,0.07363328,0.26597446,,,9.275687,9.612729,8.805978,0.28992932401782917,0.4407830507943036,0.8976136708698605
101214,284.57112389448884,-34.874660916581675,1.677092698055439,-16.411438106402887,6.171197146206503,0.049177809056469006,3.5527424378736265,0.09756961023847238,-23.13978547312417,0.07662497527982344,-0.23048127,0.12660527,-0.09655029,1.7129634255638602,2.0738262768871465,9.282789999999999,9.515286999999999,8.939354,0.0654933914573337,0.374134498218043,0.9273744536287019
101257,278.69397699103166,-2.9270549846949363,28.42426933241718,2.3657137631014376,6.423927194102192,0.07045777780449558,5.108857407694639,0.13201795218189027,1.9457907950696576,0.12967568281009964,0.059453424000000005,-0.37713709999999995,-0.063907206,,,9.283141,9.47012,8.759989,0.18311014367120163,0.45908130336486624,0.888394257579829
102073,260.229574802724,-24.553093770970534,0.6968468843458311,7.007775065414356,6.389387922984452,0.06828004167309303,7.359171902045223,0.1013552961999626,-98.89201288809997,0.06792510468268304,-0.2933769,0.39753917,0.12530914,,,9.290269,9.740647000000001,8.711075,0.1444206404986243,0.5612440712881347,0.8276503443145052
102162,276.3456091128313,-16.50885950678168,15.314430307048244,-1.8780651383322744,6.575883466778713,0.09219967264650622,23.456335374220696,0.12942354822851648,1.8894582021938395,0.11765389049201065,-0.38325074,0.25819653,0.30498675,-16.264816931634353,0.638286456720046,9.291033,9.56778,8.896025,0.33560919867749817,0.4661267750009221,0.8847179378916423
102550,275.9816930548147,-30.317667388856453,2.8521423786256226,-7.942288586384195,6.485292580741339,0.04654619729523917,-6.064289005100074,0.10287329994996118,-67.26226471107796,0.08470463631219953,-0.45026204,-0.058931094,0.41613114,,,9.294367999999999,9.682983,8.778575,0.15301059507302164,0.4517565875727628,0.8921412363435582
103786,275.4076938821014,-2.028629204901135,27.70766830213676,5.693712725087781,6.381369880555033,0.05375715829743232,-10.095695544284123,0.07994892135710377,-61.382518817597074,0.0748422734521893,-0.3659616,0.20534109,0.15367216,,,9.305557,9.652351,8.829129,0.21742354654813645,0.4620634876278111,0.886846848898514
